cand_id,last_name,first_name,twitterbirth,twitter,facebookdate,facebook,facebookjan,youtubebirth,youtube,cand_ici,cand_pty_affiliation,ttl_receipts,trans_from_auth,ttl_disb,trans_to_auth,coh_bop,coh_cop,cand_contrib,cand_loans,other_loans,cand_loan_repay,other_loan_repay,debts_owed_by,ttl_indiv_contrib,other_pol_cmte_contrib,pol_pty_contrib,indiv_refunds,cmte_refunds,opp_fund,age,gender,gen_election
H8NJ01135,GLADING,DALE MARK,NA,0,NA,0,0,NA,0,C,REP,65687,0,65075,0,673,1273,0,2815,0,26045,0,0,62472,488,0,0,0,1455171.8,52,M,L
H0TX20066,TROTTER,CLAYTON,NA,0,NA,0,0,NA,0,C,REP,162678.98,0,162678.98,0,0,0,0,0,2700,0,2700,0,144109.55,14619.2,0,0,0,921600.88,64,M,L
H0TX32038,MYERS,JOHN JAY,NA,0,NA,0,0,NA,0,C,LIB,7209.8301,0,7209.8301,0,0,0,1083.88,0,0,0,0,0,6075.9502,50,0,0,0,2822672,54,M,L
H0NJ04086,KLEINHENDLER,HOWARD,NA,0,NA,0,0,NA,0,C,DEM,128155.45,0,127662.65,0,0,492.79999,44029.352,22500,0,0,0,22500,61626.102,0,0,0,0,748362.5,56,M,L
H0ID02103,SCHAD,BRIAN,NA,0,NA,0,0,NA,0,C,IND,2195,0,2195,0,0,0,875,0,0,0,0,0,1320,0,0,0,0,792074.25,59,M,L
H0TX16080,COLLINS,TIM,NA,0,NA,0,0,NA,0,C,NNE,1636,0,1636,0,0,0,521,0,0,0,0,0,2230,0,0,794,0,1049523.3,65,M,L
H0TX21080,MELNICK,LAINEY,NA,0,NA,0,0,NA,0,C,DEM,34986.82,50,34986.82,0,0,0,25,894.14001,0,894.14001,0,0,27229.67,1155,5600,0,0,1318723.3,62,M,L
H0VA03108,QUIGLEY,JAMES JOSEPH,NA,0,NA,0,0,NA,0,C,LIB,4795,0,4683,0,334,443,0,0,0,0,0,0,3900,50,845,0,0,535684.31,62,M,L
H8CT02077,DESHEFY,GREGORY SCOTT,NA,0,NA,0,0,NA,0,C,GRE,2369,0,2157,0,1,2,0,0,0,0,0,5731,2269,0,100,0,0,2029349.8,56,M,L
H0CO06077,FLERLAGE,JOHN,NA,0,NA,0,0,NA,0,C,DEM,153656.72,0,152780.23,0,0,876.48999,2913.3101,2500,0,1500,0,1035,94216.32,51500,0,0,0,928518.13,54,M,L
H0NJ03179,DESTEFANO,PETER M,NA,0,NA,0,0,NA,0,C,OTH,6722,0,6572,0,0,74,4772,0,0,0,0,557,1950,0,0,0,0,4924774,50,M,L
H0OH10082,CORRIGAN,PETER J,NA,0,NA,0,0,NA,0,C,REP,420570.84,0,411808.19,0,0,0,20,90000,0,90000,0,0,305956.66,7020,1100,2300,0,978635.25,63,M,L
H0FL10055,JUSTICE,CHARLIE,NA,0,NA,0,0,NA,0,C,DEM,321127.81,0,320532.34,0,0,595.46997,0,0,0,0,0,0,255627.81,65500,0,100,0,697977.69,79,M,L
H0TX09143,MUELLER,STEVE C,NA,0,NA,0,0,NA,0,C,REP,16549.131,0,15712.99,0,0,835,0,0,0,0,0,0,16547,0,0,0,0,443130.84,62,M,L
H0FL08117,DUNMIRE,PEG,NA,0,NA,0,0,NA,0,C,REP,302122.31,0,285076.22,0,0,17046.08,0,266630.28,0,0,0,266630.28,35492.02,0,0,0,0,7877006.5,51,M,L
H0MI05089,KUPIEC,JOHN,NA,0,NA,0,0,NA,0,C,REP,356588.53,0,356390.25,0,0,198.28999,0,173084.84,0,0,0,189560.94,161822.55,16549.99,5000,0,0,622561.5,80,M,L
H0MD01182,WILSON,JACK SR,NA,0,NA,0,0,NA,0,C,IND,60321,0,60320.41,0,0,0,0,47729,0,1167.91,0,6832.0898,12592,0,0,0,0,5001526,41,M,L
H8KY05042,HOLBERT,JAMES E ''JIM'',NA,0,NA,0,0,NA,0,C,DEM,13012,0,12502,0,0,544,4114,0,0,0,0,0,5264,3000,225,185,0,895671.38,72,M,L
H0CA16096,GONZALEZ,EDWARD M,NA,0,NA,0,0,NA,0,C,LIB,35177.988,0,35177.988,0,0,0,500,0,0,0,0,0,34092.762,0,500,0,0,782099.69,62,F,L
H0MN05111,DEMOS,JOEL ALEXANDER,NA,0,NA,0,0,NA,0,C,REP,95234.82,0,89730.922,0,162.89,5666.79,0,0,0,0,0,0,81410.57,11625,0,68.75,0,1462193.5,46,M,L
H0FL13109,GOLDEN,JAMES THEOPOLIS,3/14/09,1,8/5/08,1,1,NA,0,C,DEM,130765.67,0,129892.21,0,0,873.46002,750,3275,0,500,0,8329.1396,121203.02,4500,0,75,0,2082574.6,58,M,L
H0TN09061,BERGMANN,CHARLOTTE,NA,0,NA,0,0,NA,0,C,REP,217428.09,0,217428.09,0,0,0,250,0,0,0,0,0,213178.09,4000,0,0,0,1151407.9,60,M,L
H6IN06149,WELSH,REVI BARRY ALAN,NA,0,NA,0,0,NA,0,C,DEM,115,0,7603.9102,0,7488.9102,0,0,0,0,2000,0,3003.24,115,0,0,0,0,2684316,50,M,L
H0KY06104,BARR,GARLAND ''ANDY'',1/14/13,0,8/17/12,0,0,14-Jan-13,0,C,REP,1580018.1,0,1554521.8,0,0,25496.33,0,0,0,0,0,150,1399410.8,173898.45,6125,3800,0,1674099.4,50,M,L
H0PA06084,TRIVEDI,MANAN,NA,0,NA,0,0,NA,0,C,DEM,1448023.9,16940.1,1424502.3,103000,0,23521.58,18545.01,36000,0,36000,0,0,1189102.4,186895.17,0,3968.45,450.28,2120900.5,54,M,L
H0WI03068,KAPANKE,DAN,NA,0,NA,0,0,NA,0,C,REP,1034222.4,0,1029166,45000,0,5056.46,11002.3,0,0,0,0,0,915506,89870.102,17071.449,1937.0601,0,1857853,46,M,L
H0OH03079,ROBERTS,JOSEPH MICHAEL,NA,0,NA,0,0,NA,0,C,DEM,7332,0,6170,0,0,396,0,0,0,0,0,0,7332,0,0,0,0,782485,49,M,L
H0CA37159,PARKER,STAR,NA,0,NA,0,0,NA,0,C,REP,1851459,0,1826846,0,0,24612.99,0,0,20000,0,0,41868,1769748.8,40520.551,0,11225,0,643477.5,47,F,L
H0AZ04493,CONTRERAS,JANET L,NA,0,NA,0,0,NA,0,C,REP,82895.641,0,82858.117,0,0,37.52,10,25110,0,2000,0,23110,52760.641,5015,0,0,0,1014290.8,66,M,L
H0CA04159,EMERY,BENJAMIN 'BEN',NA,0,NA,0,0,NA,0,C,GRE,12382,0,10330,0,110,70,0,0,0,0,0,0,12382,0,0,0,0,1903849.5,53,M,L
H8FL09084,DE PALMA,ANITA,NA,0,NA,0,0,NA,0,C,DEM,13496,0,13401,0,0,0,750,10440,0,0,0,0,2306,0,0,0,0,1088911.3,46,M,L
H0WA04060,CLOUGH,JERAME,NA,0,NA,0,0,NA,0,C,DEM,119993.23,0,118862.88,0,0,1130.35,50.400002,0,0,0,0,0,64351.871,43000,12590.96,0,0,1056585.5,68,M,L
H0NE02144,WHITE,THOMAS M.,NA,0,NA,0,0,NA,0,C,DEM,1051103,38317,1022346,14000,0,28756.4,467.42001,78000,0,0,0,78000,687316.06,234466.7,12524.12,1325,6250,1924726,47,M,L
H0PA19137,SANDERS,RYAN SCOTT,NA,0,NA,0,0,NA,0,C,DEM,30148,0,28498.369,0,0,0,0,0,3000,0,0,0,26450.48,697.52002,0,0,0,222272.8,47,M,L
H0MD07064,SPENCER,SCOTT JAMES,NA,0,NA,0,0,NA,0,C,LIB,874,0,825,0,0,46,349,200,0,200,0,0,325,0,0,0,0,808552.94,58,M,L
H0WY00129,WENDT,DAVID ALLAN,NA,0,NA,0,0,NA,0,C,DEM,65708.797,0,68523.391,0,0,577.65997,0,0,0,0,0,0,63508.801,0,2200,0,0,780426.44,55,F,L
H0MI09115,RACZKOWSKI,ANDREW ROCKY,NA,0,NA,0,0,NA,0,C,REP,2038244.1,47.900002,1995897.8,0,0,42346.43,0,55000,0,0,0,172817.89,1879899.8,90250,7775,0,0,3285646,51,M,L
H0NC01069,WOOLARD,ASHLEY MCMULLAN,NA,0,NA,0,0,NA,0,C,REP,134393.61,0,134386.95,0,0,5.4499998,2500,7700,0,1000,0,6700,122884.61,0,1300,0,0,828566.56,62,M,L
H0KY02087,MARKSBERRY,WARREN E,NA,0,NA,0,0,NA,0,C,DEM,8253.3398,0,8255.5703,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,1233573.1,45,M,L
H0GA03066,SAUNDERS,ROBERT FRANKLIN III,NA,0,NA,0,0,NA,0,C,DEM,44112.148,0,43281.781,0,0,89.150002,0,29883.15,0,0,0,10000,13679,500,50,0,0,843044.44,59,M,L
H8NJ08056,STRATEN,ROLAND,NA,0,NA,0,0,NA,0,C,REP,169070.23,0,168540.45,0,1848.52,2378.3,0,60000,0,0,0,86799.117,105440,3310,0,0,0,1499697.1,72,M,L
H0PA12090,BURNS,TIMOTHY RAYMOND,NA,0,NA,0,0,NA,0,C,REP,2373253.5,0,2362147.3,0,0,11106.18,702.71002,435000,0,214000,0,221000,1355119.1,566047.13,15600,3070,1000,2477268,77,M,L
H0MN07059,BYBERG,VIDAR,NA,0,NA,0,0,NA,0,C,REP,402707.41,0,385260.78,0,0,17446.631,0,80000,0,6000,0,74112.07,289815.72,21400,0,2500,0,1250815.8,65,M,L
H0MD03147,WILHELM,JIM,NA,0,NA,0,0,NA,0,C,REP,45015,0,41109.48,0,0,4160.52,41000,0,0,0,0,0,4015,0,0,0,0,908856.5,47,M,L
H0AL01048,WALTER,DAVID MARSH,NA,0,NA,0,0,NA,0,C,CON,21321,0,20045,0,0,0,0,16443,0,0,0,0,4878,0,0,0,0,913052.63,50,M,L
H0VA11085,DOTSON,DAVID L,NA,0,NA,0,0,NA,0,C,LIB,1800,0,1194,0,0,602,1020,100,0,100,0,0,335,0,345,0,0,5405005.5,59,M,L
H0MO08269,BILL,LAWRENCE DAVID,NA,0,NA,0,0,NA,0,C,IND,15629.9,0,15629.9,0,0,0,13690.22,0,0,0,0,0,1939.6801,0,0,0,0,3594932.3,59,F,L
H0WI01096,HECKENLIVELY,JOHN HAROLD,NA,0,NA,0,0,NA,0,C,DEM,12065.62,0,11649.06,0,0,416.56,0,0,0,0,0,0,8935.6201,130,3000,0,0,3922760.3,39,M,L
H0MA05090,CLARK,ROBERT MICHAEL,6/26/09,1,3/11/09,1,1,12-Mar-09,1,C,UNK,14742.68,0,10656.93,0,171.8,4257.5498,8932.5703,5000,0,0,0,5000,0,800,10,0,0,2357424,63,F,L
H8SC02080,MILLER,ROBERT L,NA,0,NA,0,0,NA,0,C,DEM,3134569,119215.46,3139638.8,444215.47,5121.1602,51.34,1724.13,0,0,119215.46,0,100784.54,2814043.5,180768.69,5000,2260,37.299999,4815317.5,62,M,L
H0CA20098,VIDAK,JAMES ANDREW,NA,0,NA,0,0,NA,0,C,REP,900647.88,0,894969.44,0,0,5678.46,0,3143.6799,0,3143.6799,0,10296.16,787701.94,97180.547,5000,9450,0,1845156.1,57,M,L
H0CA26087,MILLER,DAVID LAWRENCE,NA,0,NA,0,0,NA,0,C,IND,42073.578,0,41782.43,24410.49,0,291.14999,0,36672.879,0,0,0,36672.879,5348.7002,0,0,0,0,1558348.9,57,M,L
H8IN01096,LEYVA,MARK J,NA,0,NA,0,0,NA,0,C,REP,17848,0,17266,0,439,67,0,0,500,0,0,56753,15967,161,1220,0,0,891337.5,60,M,L
H0TX04110,PRINDLE,JIM,NA,0,NA,0,0,NA,0,C,LIB,47686.52,0,41906.441,0,0,5738.1602,2658.3101,32963,0,825,0,32913,10985.21,30,1050,0,0,686223.75,86,M,L
H0CA47067,TRAN,VAN,NA,0,NA,0,0,NA,0,C,REP,1404741.4,0,1395563.5,0,0,9177.9502,5500,0,0,0,0,1873.15,1162303.5,225742.55,8000,42775,100,2175234.5,49,F,L
H8VA11021,FIMIAN,KEITH S.,NA,0,NA,0,0,NA,0,C,REP,2939207.8,7419.1802,2869717,0,10127.37,79618.07,0,166120,0,71120,0,341786.91,2463065.5,236353.44,5000,3700,0,2467597.8,59,M,L
H0GA04072,CARTER,LISBETH 'LIZ',NA,0,NA,0,0,NA,0,C,REP,121424.59,0,121424.59,0,0,0,1747.13,3322.6799,0,3322.6799,0,0,108070.78,6000,2250,1537.34,0,581544.75,55,M,L
H4IL19073,BAGWELL,TIMOTHY CLARKE,NA,0,NA,0,0,NA,0,C,DEM,17763,0,17649,0,923,1037,1981,0,0,0,0,0,8305,7475,0,0,0,1845127.5,51,M,L
H0TX16064,BESCO,TIMOTHY ANDREW,NA,0,NA,0,0,NA,0,C,REP,5400,0,22856.15,0,0,0,0,1400,0,13175,0,13175,4450,0,0,0,0,1045759.3,65,M,L
H0SC06195,PRATT,JAMES PHILIP,NA,0,NA,0,0,NA,0,C,REP,66703.094,0,52066.789,0,0,2206.6001,1610,2855,0,700,0,0,50512.34,6750,5750,0,0,3319718.5,69,M,L
H0PA14104,HALUSZCZAK,MELISSA ANN,NA,0,NA,0,0,NA,0,C,REP,61136.898,0,57171.27,0,0,3965.6299,432.29001,0,0,0,0,0,51427.871,8000,1050,20,0,726536.81,56,M,L
H0TX06065,COZAD,DAVID EDWIN,NA,0,NA,0,0,NA,0,C,DEM,25145.07,0,24895.449,0,0,249.62,500,12400,0,0,0,12400,12245.07,0,0,0,0,2377715,60,M,L
H0NY14197,LAVERGHETTA,DINO,NA,0,NA,0,0,NA,0,C,REP,103343.71,0,101861.2,0,0,1482.51,13295.87,30887,0,10000,0,20887,58660.84,500,0,17311,0,3416174,61,F,L
H0MA09035,HARRISON,VERNON MCKINLEY,NA,0,NA,0,0,NA,0,C,REP,26499,0,34082,0,0,-5151,0,3781,3304,3442,1500,0,15631,0,0,0,0,1013376.3,54,M,L
H0CA23118,WATSON,THOMAS C,NA,0,NA,0,0,NA,0,C,REP,611864.25,0,607298.81,0,0,4565.3999,25,0,0,0,0,0,591102.88,9900,1000,7550,0,1068928.4,71,F,L
H0TX29075,MORALES,ROGELIO 'ROY' JR,NA,0,NA,0,0,NA,0,C,REP,296885.38,0,296797.41,0,0,87.959999,0,2500,0,2500,0,0,288835.38,3850,1500,0,0,1080909.5,62,M,L
H8TN05252,MIGLIETTA,JOHN P,NA,0,NA,0,0,NA,0,C,IND,1830,0,2029.8,0,736.19,536.39001,162,1000,0,0,0,1195.16,665,0,0,0,0,1414574.4,55,M,L
H8OH12081,RYON,DAVID BLAIR,NA,0,NA,0,0,NA,0,C,CST,2745,576,2744,0,0,0,78,0,0,0,0,0,1850,0,239,0,0,5420181,60,F,L
H0CA06097,JUDD,JAMES O JR.,NA,0,NA,0,0,NA,0,C,REP,151842.86,0,151842.86,0,0,0,0,9750,0,0,0,0,140516.09,0,1500,3600,0,846466.19,72,F,L
H0CA30113,MILLER,ERICH D,NA,0,NA,0,0,NA,0,C,LIB,13516.57,0,8878.8496,0,0,89.589996,0,4743,0,0,0,0,4679.5698,0,0,0,0,2026664.4,70,M,L
H0NY28122,ROWLAND,JILL ANN,NA,0,NA,0,0,NA,0,C,REP,26595,0,20298,0,0,0,1400,0,0,0,0,0,23995,150,1050,0,0,720705.31,80,F,L
H0SD00070,MARKING,B THOMAS,NA,0,NA,0,0,NA,0,C,IND,7174,0,7754,0,605,25,4493,0,0,0,0,0,2420,0,0,0,0,4381909.5,39,F,L
H0FL02094,MCKAIN,PAUL CRANDALL,NA,0,NA,0,0,NA,0,C,OTH,49931.422,0,49931.422,0,0,0,2929.4199,0,0,0,0,0,47002,0,0,0,0,3992888.5,64,M,L
H0UT02153,GLISSMEYER,GEORGE DAVID,NA,0,NA,0,0,NA,0,C,IND,8986.7598,0,11149.98,0,970,-1193.22,4750,0,0,0,0,0,4235.8599,0,0,0,0,2190267.8,49,M,L
H0CA35112,BROWN,K BRUCE,NA,0,NA,0,0,NA,0,C,REP,17340,0,20370,0,0,30,0,0,0,0,0,0,15600,1740,0,0,0,698820.75,71,F,L
H0WA09044,MURI,RICHARD WALTER,NA,0,NA,0,0,NA,0,C,REP,243210.42,0,243209.86,0,0,0.56,83.900002,3622,0,3000,0,622,224405.19,15000,0,300,0,948533.44,44,M,L
H0AR04079,RANKIN,BETH ANNE,NA,0,NA,0,0,NA,0,C,REP,603000.13,0,595854.94,0,0,7145.1602,800,7501,0,7501,0,0,555168.25,34530.852,5000,6515,0,2426280.5,48,M,L
H8AZ07028,MEYER,HARLEY DEAN,NA,0,NA,0,0,NA,0,C,IND,8820,0,8407.7598,0,0,412.23999,0,8820,0,0,0,8820,0,0,0,0,0,2203468.5,61,M,L
H0FL20104,BLUMENTHAL,STANLEY,NA,0,NA,0,0,NA,0,C,IND,274785,0,263478,0,0,0,274785,0,0,0,0,0,0,0,0,935.46002,0,2316795,43,F,L
H0OH13136,GANLEY,THOMAS D,NA,0,NA,0,0,NA,0,C,REP,8326077.5,841.91998,8317960.5,0,0,8116.8198,0,7905050,0,6175000,0,1741412,298893.78,118791.05,2500,2400,0,1799214.5,46,F,L
H0MD08153,PHILIPS,MICHAEL LEE,NA,0,NA,0,0,NA,0,C,REP,192616.77,0,177651.02,0,0,14965.75,0,155163.97,0,25887.68,0,129276.29,36627.801,825,0,0,0,1923806.5,50,M,L
H0NC11118,MILLER,JEFFERY LANE,NA,0,NA,0,0,NA,0,C,REP,810053.94,0,797644.56,0,0,12409.41,12000,30000,0,15000,0,15000,702324.25,25437.699,38500,2805,0,1347011,38,M,L
H0NJ00019,AGOSTA,MICHAEL,NA,0,NA,0,0,NA,0,C,REP,197090.11,0,196395.06,0,0,695.04999,10745.87,174000,0,3500,0,170500,11124.24,1000,0,0,0,1085314.9,57,M,L
H0CA39080,ANDRE,LARRY STEVEN,NA,0,NA,0,0,NA,0,C,REP,53710.988,0,50565.172,0,0,3145.8201,80,31000,0,0,0,31000,20571.99,0,779,0,0,723863.06,40,F,L
H0MA03038,BARRON,PATRICK,NA,0,NA,0,0,NA,0,C,UNK,3167,0,1254,0,0,1913,0,0,0,0,0,0,3167,0,0,0,0,1968289,50,M,L
H0TX26071,DURRANCE,NEIL L,NA,0,NA,0,0,NA,0,C,DEM,106036.86,0,106027.97,0,0,0,17618.76,0,1500,0,1500,0,59583.531,24659.57,2600,0,0,1019693.3,59,M,L
H0NJ07212,POTOSNAK,EDWARD III,NA,0,NA,0,0,NA,0,C,DEM,349518.16,0,345163.16,0,0,4355.0098,2243.98,0,0,0,0,7204.5601,312802.75,34058.07,0,0,0,1341108.9,57,M,L
H0FL04033,PUESCHEL,DEBORAH KATZ,NA,0,NA,0,0,NA,0,C,NNE,0,0,46,0,962,915,0,0,0,0,0,0,0,0,0,0,0,570106.19,65,M,L
H0CA04134,CURTIS,CLINT,NA,0,NA,0,0,NA,0,C,DEM,32176,0,24671.68,0,0,0,0,1800,0,0,0,0,14026,11000,5350,0,0,1884055.5,53,M,L
H0CT02173,PECKINPAUGH,JANET,NA,0,NA,0,0,NA,0,C,REP,247390.61,0,269667.72,0,0,-22127.119,0,0,0,0,0,0,241490.61,5900,0,0,0,1784328.1,56,M,L
H0TX03088,LINGENFELDER,JOHN JR,NA,0,NA,0,0,NA,0,C,DEM,157000.58,0,154857.19,0,0,1808.4,0,128974.39,0,27475.27,0,101500,26291.189,1000,0,0,0,1110253.3,79,M,L
H0OR01095,CORNILLES,ROBERT,NA,0,NA,0,0,NA,0,C,REP,1045911.9,780,1012868.4,20.75,0,33043.469,0,0,0,0,0,0,951688.44,92998.039,0,10056,0,1537849.3,54,M,L
H0VA04056,LEGROW,WYNNE VINSON ELWOOD,NA,0,NA,0,0,NA,0,C,DEM,175686.63,0,179343.13,0,0,-1505.33,8003.75,76050,0,1203.77,0,74846.227,82833.68,4850,2548,1600,500,987976.38,57,M,L
H0WI02060,LEE,CHAD,9/24/12,0,2/22/14,0,0,NA,0,C,REP,130126.36,0,129860.41,0,0,265.07999,0,10558.98,0,6000,0,4558.98,114890.43,100,4575,0,0,1197113.6,47,F,L
H0IL18057,HIRNER,DEIDRE 'DK',NA,0,NA,0,0,NA,0,C,DEM,138080.63,0,138080.63,0,0,0,10773,5249.2598,0,2221.45,0,3027.8101,83583.367,36725,1750,100,0,2412642.5,28,M,L
H0KY03184,LALLY,TODD,NA,0,NA,0,0,NA,0,C,REP,855493.06,0,855484.06,0,0,264,1000,116000,0,116000,0,0,664131.44,62650,0,2450,0,1537401,62,M,L
H0NM01163,BARELA,JON,NA,0,NA,0,0,NA,0,C,REP,1443934.3,0,1421034.5,0,0,22899.811,0,0,0,0,0,0,1199219.3,211400,32500,5670,0,2792508.8,38,M,L
H0FL16052,HORN,JIM,NA,0,NA,0,0,NA,0,C,OTH,86850,0,86586.523,0,25,288.48001,0,81750,0,0,0,81750,5100,0,0,0,0,1428128.1,39,M,L
H0MI11087,MOSHER,NATALIE,NA,0,NA,0,0,NA,0,C,DEM,319881.38,0,319881.38,0,0,0,760,63499.699,0,12800,0,50699.699,219140,32589,2049,1000,0,1195300.8,44,M,L
H0CO01078,FALLON,MICHAEL PETER,NA,0,NA,0,0,NA,0,C,REP,196993,0,196993,0,0,0,0,0,0,0,0,0,192993,4000,0,0,0,838815.69,52,F,L
H0FL11160,PRENDERGAST,MIKE,NA,0,NA,0,0,NA,0,C,REP,510417.16,0,501047,0,0,9370.1396,0,0,0,0,0,5720,480917.16,24500,5000,1500,0,887032.5,43,F,L
H0MN05103,TORGERSON,LYNNE,NA,0,NA,0,0,NA,0,C,IND,60793.828,0,59638.641,0,0,1155.1899,25820.859,0,0,0,0,0,34465.77,500,0,0,0,1496634.5,46,M,L
H0NJ06164,LITTLE,ANNA C,NA,0,NA,0,0,NA,0,C,REP,486064.56,0,478485.22,0,0,7579.3398,0,700,0,0,0,5498,436564.56,48800,0,0,0,2235779.8,58,M,L
H0CA10123,HARMER,DAVID,NA,0,NA,0,0,NA,0,C,REP,2931475,81139.828,2858560.5,0,0,71569.367,15416.18,0,0,0,0,36660.34,2276734.5,421512.63,5150,11550,0,3209478,58,M,L
H6LA04054,CASH,ARTIS,NA,0,NA,0,0,NA,0,C,OTH,5503.3198,0,5153.3198,0,0,350,0,350,0,0,0,0,0,0,0,0,0,1677447.6,58,M,L
H0IL09064,POLLAK,JOEL BARRY,NA,0,NA,0,0,NA,0,C,REP,677066.19,0,703272.44,0,0,-6951.1201,145,0,0,0,0,0,649927.44,24100,0,13959,0,1520106,65,F,L
H0NE03175,DAVIS,REBEKAH ELIZABETH,NA,0,NA,0,0,NA,0,C,DEM,54169.859,0,54493.359,0,0,0,0,0,1740,0,1740,0,50154.859,150,2125,0,0,998681.75,39,M,L
H6RI02227,MATSON,JOHN O,NA,0,NA,0,0,NA,0,C,IND,2006,0,1762,0,0,243,1706,0,0,0,0,0,300,0,0,0,0,1280828.8,45,M,L
H4WA06067,CLOUD,DOUG,NA,0,NA,0,0,NA,0,C,REP,118128.29,0,116473.53,0,114.78,1769.54,256.03,46850,0,0,0,55538.75,68756.258,300,0,0,0,1412760.4,69,M,L
H0NY14221,HEALY,TIMOTHY J,NA,0,NA,0,0,NA,0,C,REP,120829,0,120874.72,0,0,-45.720001,0,110050,0,103794.77,0,6255.23,10714,0,0,2400,0,3398688.8,61,F,L
H0NY04099,BECKER,FRANCIS X JR,NA,0,NA,0,0,NA,0,C,REP,307509.59,0,303148.81,0,0,4360.79,33765.441,20250,0,0,0,94448.07,213619.16,39475,400,0,0,1684444.4,65,F,L
H0MA06072,HUDAK,WILLIAM JOHN JR,NA,0,NA,0,0,NA,0,C,REP,827876.69,0,826438.94,0,0,1437.72,234973.34,0,0,0,0,28844.5,570629.88,9900,2000,5010,0,901893.31,58,M,L
H0VA02134,GOLDEN,KENNETH EUGENE,NA,0,NA,0,0,NA,0,C,IND,124393.73,0,124311.36,0,0,-645.64001,0,67250,4550,0,0,74080,49320.48,0,0,0,0,7020932,35,M,L
H0VI00045,MIMOUN,GUILLAUME,NA,0,NA,0,0,NA,0,C,GRE,12440,0,12440,0,7745,0,12340,0,0,0,0,0,100,0,0,0,0,292358,NA,NA,L
H0WA02098,KOSTER,JOHN M,NA,0,NA,0,0,NA,0,C,REP,1120533.5,0,1109522.4,0,0,11011.1,0,14000,0,14000,0,0,936375.81,141725,23375,9117.9199,0,2028596,44,M,L
H0MO06149,HYLTON,CLINT,NA,0,NA,0,0,NA,0,C,DEM,9461,0,9440.5996,0,0,19.65,500,0,0,0,0,0,8106,0,855,0,0,1057244.6,46,M,L
H0AZ07017,MCCLUNG,RUTH CRAWFORD,NA,0,NA,0,0,NA,0,C,REP,732607.5,0,684747.69,0,0,48223.148,5754.0098,0,0,0,0,2301.75,678328.5,48525,0,2450,0,1479681,61,M,L
H0IA03139,ZAUN,BRAD,NA,0,NA,0,0,NA,0,C,REP,682761.25,0,681870.31,0,0,890.91998,0,0,0,0,0,27357.27,563249.44,113161.82,6350,5625,0,1519582.5,75,M,L
H0CA47083,IGLESIAS,CECILIA PATRICIA,NA,0,NA,0,0,NA,0,C,IND,118889.2,0,118889.52,0,0,0,0,35240,0,0,0,24670.74,67239.203,0,0,1000,0,3461086.5,49,F,L
